===============================================================================
Id,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,RSIMACDMultiTF,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000001.XSHE,000001.XSHE
29,000001.XSHE,29,2018-02-09 23:59:59.999989,1397.85,1397.85,1316.85,1352.72,2441278.0,0.0,000001.XSHE,29,2018-02-09 23:59:59.999989,1397.85,1397.85,1316.85,1352.72,2441278.0,0.0,RSIMACDMultiTF,29,736734.9999999999,Broker,29,1000000.0,1000000.0,BuySell,29,,,BuySell,29,,,DataTrades,29,,
30,000001.XSHE,30,2018-02-12 23:59:59.999989,1363.13,1370.08,1337.68,1356.19,1061895.0,0.0,000001.XSHE,30,2018-02-12 23:59:59.999989,1363.13,1370.08,1337.68,1356.19,1061895.0,0.0,RSIMACDMultiTF,30,736737.9999999999,Broker,30,1000000.0,1000000.0,BuySell,30,,,BuySell,30,,,DataTrades,30,,
31,000001.XSHE,31,2018-02-13 23:59:59.999989,1373.55,1412.89,1370.08,1381.65,1121866.0,0.0,000001.XSHE,31,2018-02-13 23:59:59.999989,1373.55,1412.89,1370.08,1381.65,1121866.0,0.0,RSIMACDMultiTF,31,736738.9999999999,Broker,31,1000000.0,1000000.0,BuySell,31,,,BuySell,31,,,DataTrades,31,,
32,000001.XSHE,32,2018-02-14 23:59:59.999989,1383.96,1392.06,1360.82,1388.59,746820.0,0.0,000001.XSHE,32,2018-02-14 23:59:59.999989,1383.96,1392.06,1360.82,1388.59,746820.0,0.0,RSIMACDMultiTF,32,736739.9999999999,Broker,32,1000000.0,1000000.0,BuySell,32,,,BuySell,32,,,DataTrades,32,,
33,000001.XSHE,33,2018-02-22 23:59:59.999989,1417.52,1449.92,1417.52,1441.82,1096137.0,0.0,000001.XSHE,33,2018-02-22 23:59:59.999989,1417.52,1449.92,1417.52,1441.82,1096137.0,0.0,RSIMACDMultiTF,33,736747.9999999999,Broker,33,1000000.0,1000000.0,BuySell,33,,,BuySell,33,,,DataTrades,33,,
34,000001.XSHE,34,2018-02-23 23:59:59.999989,1455.71,1480.01,1440.66,1459.18,875992.0,0.0,000001.XSHE,34,2018-02-23 23:59:59.999989,1455.71,1480.01,1440.66,1459.18,875992.0,0.0,RSIMACDMultiTF,34,736748.9999999999,Broker,34,1000000.0,1000000.0,BuySell,34,,,BuySell,34,,,DataTrades,34,,
35,000001.XSHE,35,2018-02-26 23:59:59.999989,1477.69,1486.95,1440.66,1461.49,903729.0,0.0,000001.XSHE,35,2018-02-26 23:59:59.999989,1477.69,1486.95,1440.66,1461.49,903729.0,0.0,RSIMACDMultiTF,35,736751.9999999999,Broker,35,1000000.0,1000000.0,BuySell,35,,,BuySell,35,,,DataTrades,35,,
36,000001.XSHE,36,2018-02-27 23:59:59.999989,1462.65,1469.59,1410.58,1420.99,1111228.0,0.0,000001.XSHE,36,2018-02-27 23:59:59.999989,1462.65,1469.59,1410.58,1420.99,1111228.0,0.0,RSIMACDMultiTF,36,736752.9999999999,Broker,36,1000000.0,1000000.0,BuySell,36,,,BuySell,36,,,DataTrades,36,,
37,000001.XSHE,37,2018-02-28 23:59:59.999989,1400.16,1410.58,1380.49,1394.38,1049246.0,0.0,000001.XSHE,37,2018-02-28 23:59:59.999989,1400.16,1410.58,1380.49,1394.38,1049246.0,0.0,RSIMACDMultiTF,37,736753.9999999999,Broker,37,1000000.0,1000000.0,BuySell,37,,,BuySell,37,,,DataTrades,37,,
38,000001.XSHE,38,2018-03-01 23:59:59.999989,1379.33,1405.95,1377.02,1393.22,766495.0,0.0,000001.XSHE,38,2018-03-01 23:59:59.999989,1379.33,1405.95,1377.02,1393.22,766495.0,0.0,RSIMACDMultiTF,38,736754.9999999999,Broker,38,1000000.0,1000000.0,BuySell,38,,,BuySell,38,,,DataTrades,38,,
