===============================================================================
Id,000012.XSHE,len,datetime,open,high,low,close,volume,openinterest,,len,datetime,open,high,low,close,volume,openinterest,PivotMultiTF,len,datetime,LinesCoupler_6,len,p,s1,s2,r1,r2,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000012.XSHE,
332,000012.XSHE,332,2019-05-17 23:59:59.999989,137.19,137.48,130.91,131.76,405153.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,332,737196.9999999999,LinesCoupler_6,332,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,332,1211500.85,1211500.85,BuySell,332,,,BuySell,16,,,DataTrades,332,,
333,000012.XSHE,333,2019-05-20 23:59:59.999989,134.05,134.34,131.19,134.05,323162.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,333,737199.9999999999,LinesCoupler_6,333,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,333,1211500.85,1211500.85,BuySell,333,,,BuySell,16,,,DataTrades,333,,
334,000012.XSHE,334,2019-05-21 23:59:59.999989,132.91,136.34,132.91,134.62,364682.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,334,737200.9999999999,LinesCoupler_6,334,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,334,1211500.85,1211500.85,BuySell,334,,,BuySell,16,,,DataTrades,334,,
335,000012.XSHE,335,2019-05-22 23:59:59.999989,134.62,135.48,132.62,133.19,295703.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,335,737201.9999999999,LinesCoupler_6,335,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,335,1211500.85,1211500.85,BuySell,335,,,BuySell,16,,,DataTrades,335,,
336,000012.XSHE,336,2019-05-23 23:59:59.999989,132.62,134.05,130.91,131.48,235204.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,336,737202.9999999999,LinesCoupler_6,336,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,336,1211500.85,1211500.85,BuySell,336,,,BuySell,16,,,DataTrades,336,,
337,000012.XSHE,337,2019-05-24 23:59:59.999989,131.19,132.62,130.91,131.19,193221.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,337,737203.9999999999,LinesCoupler_6,337,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,337,1211500.85,1211500.85,BuySell,337,,,BuySell,16,,,DataTrades,337,,
338,000012.XSHE,338,2019-05-27 23:59:59.999989,130.91,134.05,130.05,133.48,243962.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,338,737206.9999999999,LinesCoupler_6,338,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,338,1211500.85,1211500.85,BuySell,338,,,BuySell,16,,,DataTrades,338,,
339,000012.XSHE,339,2019-05-28 23:59:59.999989,133.19,134.62,131.76,132.33,243272.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,339,737207.9999999999,LinesCoupler_6,339,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,339,1211500.85,1211500.85,BuySell,339,,,BuySell,16,,,DataTrades,339,,
340,000012.XSHE,340,2019-05-29 23:59:59.999989,131.76,134.05,131.48,132.05,195025.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,340,737208.9999999999,LinesCoupler_6,340,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,340,1211500.85,1211500.85,BuySell,340,,,BuySell,16,,,DataTrades,340,,
341,000012.XSHE,341,2019-05-30 23:59:59.999989,131.76,132.62,130.62,132.05,250086.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,341,737209.9999999999,LinesCoupler_6,341,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,341,1211500.85,1211500.85,BuySell,341,,,BuySell,16,,,DataTrades,341,,
